timestamp,pitch,roll,yaw,gyro_temp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,height_tof_mm,height_baro_m,battery_main_voltage,battery_edf_voltage,temperature,humidity,pressure
45881,0.54144686460495,-1.2654119729995728,-0.021984731778502464,2181,-1.0026562213897705,-0.021240234375,0.0068359375,-4.396946430206299,-1.2519084215164185,0.8931297659873962,0,98,1104,3,2564,38,101460
45901,0.5277464985847473,-1.2635160684585571,-0.021526718512177467,2181,-1.0048534870147705,-0.021240234375,0.009033203125,-4.3053436279296875,-1.2442748546600342,0.8778625726699829,0,98,1104,3,2564,38,101460
45921,0.5398851633071899,-1.2651139497756958,-0.022366411983966827,2181,-1.0109570026397705,-0.02294921875,0.00732421875,-4.473282337188721,-1.3206106424331665,0.8396946787834167,0,98,1104,3,2564,37,101460
45941,0.5489897727966309,-1.2513930797576904,-0.021412212401628494,2181,-1.0055859088897705,-0.016357421875,0.008544921875,-4.282442569732666,-1.3740458488464355,0.9312977194786072,0,98,1104,3,2564,37,101460
45961,0.551791787147522,-1.2418564558029175,-0.021679388359189034,2181,-1.0009472370147705,-0.020751953125,0.012939453125,-4.335877895355225,-1.3129770755767822,0.9236640930175781,0,98,1105,3,2564,37,101460
45981,0.5494596362113953,-1.2428219318389893,-0.021717557683587074,2181,-1.0068066120147705,-0.025634765625,0.00439453125,-4.343511581420898,-1.2137404680252075,0.9541984796524048,0,98,1103,3,2564,37,101460
46001,0.5570303201675415,-1.251320719718933,-0.02156488597393036,2181,-1.0116894245147705,-0.023681640625,0.010986328125,-4.312977313995361,-1.3358778953552246,0.9160305261611938,0,98,1103,3,2564,37,101460
46021,0.5625359416007996,-1.2473835945129395,-0.021183205768465996,2181,-1.0124218463897705,-0.019775390625,0.011962890625,-4.2366414070129395,-1.2824426889419556,1.0,0,98,1100,3,2564,37,101460
46042,0.5684635639190674,-1.2454618215560913,-0.02183206006884575,2181,-1.0043652057647705,-0.014892578125,0.012451171875,-4.366412162780762,-1.2213740348815918,0.9236640930175781,0,98,1102,3,2564,37,101460
46061,0.5648757815361023,-1.2435030937194824,-0.021488549187779427,2181,-1.0063183307647705,-0.0205078125,0.012939453125,-4.297709941864014,-1.1297709941864014,0.8244274854660034,0,98,1100,3,2564,37,101460
46081,0.564246416091919,-1.2356122732162476,-0.021450381726026535,2181,-1.0063183307647705,-0.017333984375,0.003662109375,-4.29007625579834,-1.3206106424331665,0.9694656729698181,0,98,1100,3,2564,37,101460
46101,0.5782710909843445,-1.235713243484497,-0.02190839685499668,2181,-1.0090038776397705,-0.020263671875,0.012939453125,-4.381679534912109,-1.3435114622116089,0.8778625726699829,0,98,1101,3,2564,37,101460
46121,0.5823368430137634,-1.2298154830932617,-0.021717557683587074,2181,-1.0094921588897705,-0.018798828125,0.00830078125,-4.343511581420898,-1.2824426889419556,0.885496199131012,0,98,1101,3,2564,37,101460
46141,0.5916028022766113,-1.2358368635177612,-0.021488549187779427,2181,-1.0068066120147705,-0.02197265625,0.01806640625,-4.297709941864014,-1.3587785959243774,1.0229008197784424,0,98,1100,3,2564,37,101460
46161,0.5918390154838562,-1.236125111579895,-0.02213740348815918,2181,-1.0126659870147705,-0.025634765625,0.00537109375,-4.427480697631836,-1.3282443284988403,1.0076335668563843,0,98,1099,3,2564,37,101460
46181,0.5777528882026672,-1.2392715215682983,-0.0216030515730381,2181,-1.0070507526397705,-0.021240234375,0.010009765625,-4.320610523223877,-1.3358778953552246,0.9236640930175781,0,98,1099,2,2564,37,101460
46201,0.5841525197029114,-1.233108401298523,-0.021526718512177467,2181,-1.0114452838897705,-0.021240234375,0.01123046875,-4.3053436279296875,-1.3129770755767822,0.9312977194786072,0,98,1097,2,2564,37,101460
46221,0.5795996189117432,-1.2339019775390625,-0.021793892607092857,2181,-1.0046093463897705,-0.019775390625,0.0107421875,-4.358778476715088,-1.2977099418640137,0.9465649127960205,0,98,1097,2,2564,37,101460
